EmployeeID,Age,Gender,JobRole,TenureYears,WorkHoursPerWeek,WFH_percent,SleepHours,OvertimeHours,MeetingsPerDay,BreaksPerDay,ManagerRating,StressScore,ProductivityScore,BurnoutRisk,WorkloadIndex,ProductivityBand,WFHCategory,AgeGroup
15,22,Female,HR Manager,1.3,44.0,99.8,4.3,15.1,1,1,3.0,86.7,94.5,Low,59.1,high,high WFH,21-30
16,41,F,Business Analyst,12.1,61.0,99.6,4.0,10.6,3,0,3.0,66.3,95.8,Low,71.6,high,high WFH,41-50
17,21,Male,Product Manager,12.9,44.3,19.1,4.5,29.1,5,2,4.4,67.6,89.8,Medium,73.4,high,low WFH,21-30
18,43,M,Data Analyst,12.3,58.9,31.3,5.8,9.6,4,1,3.0,95.7,40.1,High,68.5,medium,medium WFH,41-50
19,49,Female,Team Lead,7.7,73.7,48.6,10.4,12.3,0,2,4.7,98.4,88.7,Low,86.0,high,medium WFH,41-50
20,57,Male,Business Analyst,6.6,37.7,66.4,9.4,19.0,9,0,3.0,68.8,59.8,Medium,56.7,medium,high WFH,51-60
21,21,Male,Business Analyst,14.9,47.2,52.8,6.5,0.7,0,5,3.7,57.0,67.6,Medium,47.900000000000006,medium,medium WFH,21-30
22,40,F,QA Tester,3.4,79.6,96.9,6.9,26.9,5,2,3.6,64.7,87.2,Low,106.5,high,high WFH,31-40
23,52,Male,Data Analyst,8.2,72.8,72.4,5.1,15.6,2,5,1.9,44.4,22.4,Low,88.39999999999999,low,high WFH,51-60
24,31,Female,Data Analyst,7.7,56.1,21.2,8.6,14.0,2,4,1.5,98.9,49.0,Low,70.1,medium,medium WFH,31-40
25,41,Other,Product Manager,10.5,53.4,10.5,9.4,25.8,6,3,2.7,73.5,85.3,Medium,79.2,high,low WFH,41-50
26,44,Female,Data Analyst,3.1,51.2,52.5,7.0,28.6,0,0,1.7,36.2,85.1,Low,79.80000000000001,high,medium WFH,41-50
27,46,Female,Business Analyst,9.8,53.4,15.8,3.3,12.7,0,2,1.4,15.2,87.9,Low,66.1,high,low WFH,41-50
28,47,Other,HR Manager,12.3,71.6,78.8,8.0,5.2,9,0,2.2,14.0,33.5,Low,76.8,low,high WFH,41-50
29,35,Male,Software Engineer,0.8,62.7,31.1,7.5,24.5,2,4,4.4,28.4,76.5,Medium,87.2,high,medium WFH,31-40
30,34,Other,Team Lead,13.7,41.0,32.7,6.2,12.1,7,5,1.1,31.0,31.7,Medium,53.1,low,medium WFH,31-40
31,22,Male,Software Engineer,0.4,51.2,1.1,8.2,28.1,0,3,3.0,47.4,82.8,Low,79.30000000000001,high,low WFH,21-30
32,56,Other,Business Analyst,5.3,39.6,70.1,7.4,28.5,9,0,2.7,29.3,39.6,Medium,68.1,low,high WFH,51-60
33,26,Other,Software Engineer,0.2,34.3,11.3,7.0,3.4,3,5,3.0,66.8,79.0,Medium,37.699999999999996,high,low WFH,21-30
34,40,F,Business Analyst,1.2,30.3,77.3,6.2,28.7,8,4,1.7,29.0,56.4,Low,59.0,medium,high WFH,31-40
35,28,Other,Software Engineer,13.7,48.1,49.2,6.4,11.0,3,4,4.9,26.9,98.9,Low,59.1,high,medium WFH,21-30
36,58,Other,Data Analyst,5.3,31.2,78.4,10.0,19.4,9,4,3.3,52.4,66.4,Medium,50.599999999999994,medium,high WFH,51-60
37,37,Male,Support Engineer,6.4,34.5,52.5,7.0,1.0,7,5,3.1,90.0,70.6,Medium,35.5,high,medium WFH,31-40
38,23,F,Data Analyst,3.2,55.1,8.2,10.1,26.7,6,2,1.0,52.1,49.5,Medium,81.8,medium,low WFH,21-30
39,44,M,Data Analyst,9.0,34.1,76.6,8.8,19.2,2,1,2.9,47.2,78.8,Medium,53.3,high,high WFH,41-50
40,33,Male,Product Manager,8.9,28.5,7.0,7.7,19.3,6,0,4.4,62.0,59.6,Low,47.8,medium,low WFH,31-40
41,28,Male,QA Tester,5.6,42.5,47.9,7.0,27.1,6,1,1.9,33.1,21.4,Low,69.6,low,medium WFH,21-30
42,45,M,QA Tester,5.0,37.1,52.5,10.5,15.3,9,4,2.4,41.8,68.7,Medium,52.400000000000006,medium,medium WFH,41-50
43,21,Other,Software Engineer,13.3,53.3,75.2,5.0,12.3,2,1,1.1,29.2,86.4,Medium,65.6,high,high WFH,21-30
44,39,Male,Business Analyst,5.7,30.6,91.2,7.3,26.0,1,5,4.9,61.5,38.9,Low,56.6,low,high WFH,31-40
45,47,F,Product Manager,7.4,66.3,55.4,8.5,22.3,8,4,1.3,72.8,37.7,High,88.6,low,medium WFH,41-50
46,26,Female,Data Analyst,4.2,74.8,52.7,8.4,28.5,0,4,4.6,70.6,68.7,Medium,103.3,medium,medium WFH,21-30
47,27,M,Product Manager,11.8,65.9,76.4,5.0,28.2,6,3,2.3,32.9,85.4,Low,94.10000000000001,high,high WFH,21-30
48,54,Male,Software Engineer,6.0,54.3,0.5,7.7,11.5,3,3,3.4,80.2,40.0,Medium,65.8,low,low WFH,51-60
49,33,Male,QA Tester,7.7,72.3,91.8,9.4,13.4,1,5,3.7,33.0,94.6,Low,85.7,high,high WFH,31-40
50,36,F,Support Engineer,3.8,63.2,19.7,6.8,15.1,1,5,1.6,23.5,94.2,Medium,78.3,high,low WFH,31-40
51,55,Male,Team Lead,14.8,25.6,98.4,9.3,19.8,7,1,2.8,41.5,36.0,Medium,45.400000000000006,low,high WFH,51-60
52,59,Male,Software Engineer,4.4,46.7,73.6,7.0,10.9,6,0,2.3,63.8,41.1,Low,57.6,medium,high WFH,51-60
53,23,F,Product Manager,11.6,71.8,77.4,10.5,23.6,6,1,1.2,22.8,76.0,High,95.4,high,high WFH,21-30
54,21,F,Support Engineer,6.4,44.0,65.6,7.3,3.6,4,5,4.3,68.3,96.1,Medium,47.6,high,high WFH,21-30
55,25,M,Team Lead,3.1,26.9,47.2,7.8,3.5,9,0,1.2,87.7,76.8,Low,30.4,high,medium WFH,21-30
56,23,Male,HR Manager,12.0,66.0,52.5,3.3,6.1,7,1,3.6,36.4,55.6,Low,72.1,medium,medium WFH,21-30
57,48,Male,Software Engineer,5.0,69.1,4.6,4.4,2.5,1,2,2.3,50.5,33.5,Low,71.6,low,low WFH,41-50
58,37,M,Software Engineer,13.0,33.8,62.4,7.0,18.6,1,2,1.8,30.5,56.9,High,52.4,medium,high WFH,31-40
59,45,Other,HR Manager,13.7,54.6,62.6,6.4,4.4,4,0,3.7,42.5,68.5,Low,59.0,medium,high WFH,41-50
60,53,Other,HR Manager,12.9,51.2,89.1,7.1,4.8,0,3,3.3,12.0,46.5,Low,56.0,medium,high WFH,51-60
61,29,Other,Software Engineer,0.5,64.6,50.6,3.5,0.4,5,0,2.3,95.8,60.8,Low,65.0,medium,medium WFH,21-30
62,55,M,HR Manager,11.8,39.9,7.7,9.7,23.5,3,1,3.1,47.4,30.4,Low,63.4,low,low WFH,51-60
63,33,Male,Data Analyst,6.2,42.4,30.6,9.3,24.4,5,4,2.0,81.0,56.2,Medium,66.8,medium,medium WFH,31-40
64,50,M,Team Lead,13.1,71.5,65.6,4.5,4.9,6,2,4.5,22.8,27.3,Medium,76.4,low,high WFH,41-50
65,34,M,Team Lead,7.7,51.2,23.9,8.1,22.2,2,4,2.3,83.1,23.9,Medium,73.4,low,medium WFH,31-40
66,27,Other,Team Lead,12.5,61.8,28.1,9.5,15.1,7,2,2.0,87.4,88.6,Medium,76.89999999999999,high,medium WFH,21-30
67,33,Female,Data Analyst,7.5,47.1,82.0,8.1,7.2,6,1,4.0,74.4,36.4,Medium,54.300000000000004,low,high WFH,31-40
68,42,Male,Business Analyst,8.0,41.4,58.4,5.5,18.6,0,2,1.1,91.3,66.0,Low,60.0,medium,medium WFH,41-50
69,59,Other,HR Manager,2.2,59.4,50.9,8.2,5.4,5,0,2.1,25.0,31.9,Low,64.8,low,medium WFH,51-60
70,40,Female,Support Engineer,11.8,33.5,31.8,4.7,22.7,6,4,2.5,52.9,41.0,Low,56.2,medium,medium WFH,31-40
71,35,Female,HR Manager,6.3,45.5,73.1,5.5,1.4,3,5,4.5,65.8,48.9,Medium,46.9,medium,high WFH,31-40
72,37,F,Software Engineer,7.5,36.5,28.8,4.9,28.8,1,4,4.8,63.7,31.5,High,65.3,low,medium WFH,31-40
73,43,Male,QA Tester,11.8,63.3,73.7,7.5,2.2,9,1,3.9,87.5,23.7,Low,65.5,low,high WFH,41-50
74,45,Female,Product Manager,9.0,76.9,7.0,3.9,17.4,8,5,3.0,29.4,90.2,Low,94.30000000000001,high,low WFH,41-50
75,44,Other,Product Manager,3.0,51.2,86.5,10.5,27.1,6,4,3.6,25.8,20.9,Low,78.30000000000001,low,high WFH,41-50
76,48,F,Team Lead,8.9,49.8,50.0,5.7,0.4,0,1,2.7,32.8,24.9,High,50.199999999999996,low,medium WFH,41-50
77,34,Male,HR Manager,6.1,38.9,43.9,4.8,15.0,7,3,2.2,90.2,84.4,High,53.9,high,medium WFH,31-40
78,20,M,Support Engineer,7.0,51.2,61.1,7.0,10.5,2,0,3.0,94.7,42.6,Low,61.7,medium,high WFH,
79,44,Other,Software Engineer,0.4,71.6,52.5,5.2,17.4,3,2,1.5,61.3,77.8,Medium,89.0,high,medium WFH,41-50
80,26,Female,Data Analyst,3.2,36.3,13.2,7.3,15.1,4,2,2.4,55.1,31.7,Medium,51.4,low,low WFH,21-30
81,28,Female,Business Analyst,4.2,77.4,75.6,5.8,1.9,0,2,4.6,64.5,39.0,Low,79.30000000000001,low,high WFH,21-30
82,43,Other,Data Analyst,10.7,43.8,27.6,4.1,18.8,5,3,3.9,65.5,65.8,Low,62.599999999999994,medium,medium WFH,41-50
83,20,Female,Support Engineer,0.2,79.2,90.5,5.1,12.5,9,0,3.0,25.3,99.1,Medium,91.7,high,high WFH,
84,27,F,Software Engineer,6.1,71.1,81.8,7.0,15.1,5,4,1.1,71.8,25.9,Low,86.19999999999999,low,high WFH,21-30
85,43,Male,Team Lead,13.9,69.5,34.6,3.2,6.3,1,4,3.1,50.7,52.0,Low,75.8,medium,medium WFH,41-50
86,30,F,HR Manager,1.7,42.5,80.8,9.2,10.2,9,0,2.9,56.6,23.4,Low,52.7,low,high WFH,21-30
87,36,Female,Software Engineer,7.7,25.5,35.6,8.0,16.9,5,5,2.8,12.7,35.9,Medium,42.4,low,medium WFH,31-40
88,27,M,Product Manager,7.7,46.0,10.1,7.8,17.8,7,0,2.2,78.8,92.6,High,63.8,high,low WFH,21-30
89,54,Male,Business Analyst,14.1,51.2,96.2,7.4,11.2,5,2,4.9,85.2,27.7,Medium,62.400000000000006,low,high WFH,51-60
90,54,Male,Data Analyst,11.2,27.1,65.3,7.7,8.4,3,4,2.1,65.7,88.5,Low,35.5,high,high WFH,51-60
91,52,Male,Business Analyst,10.8,52.8,45.6,10.5,8.2,3,0,3.0,77.4,34.2,Low,61.0,low,medium WFH,51-60
92,24,Other,Business Analyst,12.4,47.2,52.5,3.1,5.2,8,4,2.6,57.0,88.9,Medium,52.400000000000006,high,medium WFH,21-30
93,58,M,Support Engineer,6.7,59.9,32.5,3.4,9.8,5,0,1.7,65.7,63.0,Low,69.7,medium,medium WFH,51-60
94,47,Male,Support Engineer,12.1,59.2,98.1,4.5,6.0,7,1,1.8,45.5,90.3,Medium,65.2,high,high WFH,41-50
95,26,M,HR Manager,0.1,31.6,52.5,4.3,19.0,7,2,4.7,81.3,32.1,Low,50.6,low,medium WFH,21-30
96,28,Other,Support Engineer,13.9,78.7,31.5,4.4,17.1,6,0,4.4,52.1,81.0,Medium,95.80000000000001,high,medium WFH,21-30
97,27,Other,Support Engineer,6.6,35.3,48.5,8.4,11.5,2,3,1.8,71.2,74.5,High,46.8,high,medium WFH,21-30
98,31,Male,Software Engineer,8.3,49.5,47.8,6.7,9.8,9,0,4.5,65.9,63.4,High,59.3,medium,medium WFH,31-40
99,53,F,Product Manager,3.8,51.2,47.1,10.9,7.1,0,1,1.8,73.2,84.8,Low,58.300000000000004,high,medium WFH,51-60
100,52,Female,Team Lead,11.1,69.7,17.6,4.8,16.1,4,3,3.5,80.7,71.9,Medium,85.80000000000001,high,low WFH,51-60
101,42,Other,HR Manager,1.1,30.5,14.5,7.0,27.6,9,3,1.3,56.1,90.2,Low,58.1,high,low WFH,41-50
102,43,Other,Software Engineer,13.1,48.6,25.5,10.9,15.1,9,0,4.5,83.2,50.5,Medium,63.7,medium,medium WFH,41-50
103,56,F,Team Lead,12.4,59.6,52.5,9.7,22.3,1,1,1.2,54.8,67.2,Low,81.9,medium,medium WFH,51-60
104,54,F,Business Analyst,3.2,36.8,11.3,7.0,25.0,9,3,3.2,96.1,89.6,Medium,61.8,high,low WFH,51-60
105,59,M,Software Engineer,12.1,59.5,75.7,7.4,10.5,1,2,4.1,77.7,37.2,Low,70.0,low,high WFH,51-60
106,41,M,QA Tester,11.8,75.8,75.8,9.7,15.1,6,5,1.5,25.4,58.9,High,90.89999999999999,medium,high WFH,41-50
107,46,Female,Software Engineer,9.5,51.2,81.0,6.8,18.7,2,2,3.0,84.7,96.9,Medium,69.9,high,high WFH,41-50
108,54,Female,Support Engineer,5.6,26.8,88.7,4.6,5.7,7,4,1.2,59.6,57.9,Low,32.5,medium,high WFH,51-60
109,20,Male,Team Lead,4.1,38.0,26.3,9.6,17.1,8,4,3.7,98.6,40.2,High,55.1,medium,medium WFH,
110,54,M,HR Manager,3.5,42.1,22.5,7.3,22.2,7,1,2.2,74.7,48.1,Low,64.3,medium,medium WFH,51-60
111,56,Other,HR Manager,4.8,47.0,46.6,4.2,23.5,5,3,3.2,17.6,90.8,High,70.5,high,medium WFH,51-60
112,33,Male,Team Lead,13.6,38.3,26.5,7.0,9.1,4,2,4.7,45.5,96.4,Medium,47.4,high,medium WFH,31-40
113,22,Other,Support Engineer,1.2,36.2,73.4,6.3,15.4,2,2,2.2,56.6,96.0,High,51.6,high,high WFH,21-30
114,20,F,Data Analyst,12.4,51.2,52.5,10.0,18.6,2,5,1.2,85.5,75.9,Low,69.80000000000001,high,medium WFH,
115,24,M,Software Engineer,5.2,75.5,87.5,4.0,24.6,6,1,3.7,75.6,60.8,Low,100.1,medium,high WFH,21-30
116,45,F,Support Engineer,7.8,27.6,8.3,10.0,22.8,4,3,4.1,43.2,34.6,Medium,50.400000000000006,low,low WFH,41-50
117,33,Female,QA Tester,11.9,43.6,91.5,7.1,29.6,5,1,4.8,68.8,29.9,High,73.2,low,high WFH,31-40
118,58,Female,Product Manager,13.3,47.3,29.3,6.2,0.2,5,0,1.6,61.9,24.8,Low,47.5,low,medium WFH,51-60
119,46,Male,Business Analyst,5.2,38.1,49.1,4.3,13.1,8,2,2.6,21.3,21.4,Low,51.2,low,medium WFH,41-50
120,28,Male,Team Lead,6.9,59.6,43.9,8.6,7.7,0,1,4.4,31.1,90.2,Low,67.3,high,medium WFH,21-30
121,34,Male,Product Manager,6.2,60.2,76.0,10.4,3.6,7,1,4.2,40.7,84.7,High,63.800000000000004,high,high WFH,31-40
122,34,Other,Software Engineer,0.2,71.8,42.0,6.0,27.3,9,5,3.5,27.6,65.4,Medium,99.1,medium,medium WFH,31-40
123,45,Female,HR Manager,4.4,65.7,94.4,4.9,29.9,4,0,2.1,23.5,99.9,Low,95.6,high,high WFH,41-50
124,32,Female,Business Analyst,6.9,54.8,90.3,7.4,5.4,5,4,2.1,15.2,96.2,Low,60.199999999999996,high,high WFH,31-40
125,51,Other,Product Manager,6.2,60.9,87.2,9.4,1.2,5,2,1.5,88.6,72.4,Medium,62.1,high,high WFH,51-60
126,58,F,Data Analyst,7.7,40.1,7.1,3.0,8.3,0,5,3.0,36.0,57.2,Low,48.400000000000006,medium,low WFH,51-60
127,51,F,Product Manager,7.7,57.6,85.4,8.1,25.0,2,1,1.7,36.1,32.2,Medium,82.6,low,high WFH,51-60
128,23,M,QA Tester,7.3,51.9,78.2,7.8,8.8,5,2,3.3,28.6,61.2,Low,60.7,medium,high WFH,21-30
129,49,M,HR Manager,6.4,32.3,10.4,5.5,1.7,8,4,3.0,52.8,32.6,Medium,34.0,low,low WFH,41-50
130,56,Male,Team Lead,11.1,38.3,10.7,6.6,15.1,5,1,2.5,56.3,51.9,High,53.4,medium,low WFH,51-60
131,42,Female,Software Engineer,12.9,41.0,10.1,5.0,12.8,5,0,2.4,28.7,95.4,Medium,53.8,high,low WFH,41-50
132,58,M,Team Lead,8.0,51.2,1.1,9.3,28.0,0,2,3.7,64.8,47.4,Low,79.2,medium,low WFH,51-60
133,34,F,Business Analyst,11.8,37.7,54.9,8.1,8.6,8,5,2.6,75.1,32.2,Medium,46.300000000000004,low,medium WFH,31-40
134,48,Male,Software Engineer,4.5,40.9,97.3,7.3,12.8,3,0,2.0,43.6,66.6,Low,53.7,medium,high WFH,41-50
135,55,F,Support Engineer,8.1,45.3,43.9,6.1,3.1,1,4,2.6,62.7,68.2,High,48.4,medium,medium WFH,51-60
136,32,Female,Data Analyst,5.2,61.5,54.1,5.3,14.8,0,4,4.2,55.2,35.5,Low,76.3,low,medium WFH,31-40
137,51,F,Support Engineer,6.2,31.5,96.8,9.6,20.9,2,2,4.9,27.6,35.7,High,52.4,low,high WFH,51-60
138,26,Male,Support Engineer,11.0,51.2,25.5,6.6,8.1,2,4,3.5,75.7,99.2,Low,59.300000000000004,high,medium WFH,21-30
139,41,Female,Team Lead,13.2,72.6,85.8,7.0,8.9,4,3,3.0,82.1,39.5,Low,81.5,low,high WFH,41-50
140,47,Other,Business Analyst,7.7,56.7,54.6,7.2,25.3,0,5,3.1,68.4,87.1,Low,82.0,high,medium WFH,41-50
141,21,Male,Data Analyst,9.5,51.2,56.9,6.6,0.3,6,2,3.5,39.2,57.6,High,51.5,medium,medium WFH,21-30
142,25,Female,Product Manager,8.7,25.9,34.3,5.0,19.1,0,3,5.0,93.4,54.8,High,45.0,medium,medium WFH,21-30
143,47,Other,Software Engineer,1.8,43.6,52.5,4.0,11.8,3,4,3.0,51.0,43.6,Low,55.400000000000006,medium,medium WFH,41-50
144,47,Male,Software Engineer,3.2,68.8,7.3,3.8,9.0,5,2,1.3,33.9,81.9,Low,77.8,high,low WFH,41-50
145,39,Male,QA Tester,4.7,51.2,76.5,9.1,19.7,0,3,4.8,46.7,90.5,Low,70.9,high,high WFH,31-40
146,49,Female,HR Manager,2.5,40.5,28.5,4.8,25.0,6,4,4.2,72.3,40.9,Low,65.5,medium,medium WFH,41-50
147,30,M,QA Tester,3.7,57.2,88.8,3.4,15.1,9,1,2.6,86.1,27.6,Medium,72.3,low,high WFH,21-30
148,47,Male,Product Manager,4.0,39.1,36.8,9.4,15.1,6,1,4.9,42.1,31.0,Low,54.2,low,medium WFH,41-50
149,44,Male,QA Tester,5.0,76.4,14.3,4.2,13.8,2,0,2.4,30.9,83.4,Medium,90.2,high,low WFH,41-50
150,58,Other,Software Engineer,11.2,32.2,69.6,8.0,13.9,3,1,2.5,66.4,54.9,Medium,46.1,medium,high WFH,51-60
151,52,F,Team Lead,8.6,68.9,16.5,5.7,16.3,5,3,3.4,92.9,30.6,Medium,85.2,low,low WFH,51-60
152,20,Female,Support Engineer,14.8,52.9,52.5,7.0,20.1,6,5,2.1,26.5,47.2,High,73.0,medium,medium WFH,
153,46,Female,Business Analyst,6.2,66.3,52.5,6.3,15.1,3,1,3.8,82.3,61.1,Low,81.39999999999999,medium,medium WFH,41-50
154,32,M,Support Engineer,11.3,42.1,78.0,3.1,15.1,9,2,1.6,52.9,88.2,Low,57.2,high,high WFH,31-40
155,22,M,Support Engineer,13.1,53.3,2.2,9.7,17.6,8,2,1.4,82.0,71.3,Medium,70.9,high,low WFH,21-30
156,58,Female,Data Analyst,10.2,72.1,60.0,7.1,10.3,8,2,3.0,55.5,34.1,Low,82.39999999999999,low,medium WFH,51-60
157,25,M,Software Engineer,6.2,50.7,69.5,4.1,20.1,8,1,3.2,44.0,32.7,Low,70.80000000000001,low,high WFH,21-30
158,27,Other,Product Manager,11.3,44.8,82.5,4.9,6.8,9,1,1.4,72.7,53.0,High,51.599999999999994,medium,high WFH,21-30
159,46,Female,Product Manager,3.1,54.5,5.6,6.6,9.5,5,0,4.9,91.1,26.0,Medium,64.0,low,low WFH,41-50
160,28,M,Business Analyst,4.9,64.5,48.0,4.5,28.9,1,5,3.3,38.8,80.4,Low,93.4,high,medium WFH,21-30
161,56,Female,Team Lead,8.2,51.2,52.5,5.1,10.4,1,5,1.6,51.5,52.1,Medium,61.6,medium,medium WFH,51-60
162,52,F,Data Analyst,8.6,76.6,16.9,7.3,15.1,3,4,2.2,30.6,47.4,Low,91.69999999999999,medium,low WFH,51-60
163,43,Male,HR Manager,0.3,41.2,32.2,9.7,17.9,8,0,4.2,26.5,60.7,High,59.1,medium,medium WFH,41-50
164,34,Female,Team Lead,14.2,51.2,44.0,6.2,29.1,2,3,3.0,80.0,76.7,Low,80.30000000000001,high,medium WFH,31-40
165,51,Male,QA Tester,10.4,66.6,83.3,8.7,29.5,5,2,1.8,28.1,65.5,Medium,96.1,medium,high WFH,51-60
166,51,M,Team Lead,7.7,62.9,92.9,10.0,17.4,1,1,1.4,81.4,84.2,Medium,80.3,high,high WFH,51-60
167,43,Male,Team Lead,14.0,72.5,62.8,4.7,15.1,0,4,2.7,48.6,70.3,Medium,87.6,high,high WFH,41-50
168,31,Female,Support Engineer,7.7,79.8,39.5,9.5,27.0,4,4,2.3,99.6,83.0,Medium,106.8,high,medium WFH,31-40
169,58,Male,Team Lead,14.7,51.2,25.4,9.1,17.1,7,1,3.6,27.8,75.7,High,68.30000000000001,high,medium WFH,51-60
170,21,Male,Product Manager,7.7,31.1,98.2,5.9,11.0,9,0,4.7,18.4,35.4,Medium,42.1,low,high WFH,21-30
171,22,Female,QA Tester,1.7,26.7,98.3,10.9,24.9,9,4,2.0,16.8,24.2,Low,51.599999999999994,low,high WFH,21-30
172,56,M,QA Tester,11.5,65.0,92.5,5.1,12.0,1,5,4.4,85.2,92.3,Medium,77.0,high,high WFH,51-60
173,36,Other,Software Engineer,10.2,73.1,78.6,5.0,1.0,9,0,4.7,49.4,95.7,High,74.1,high,high WFH,31-40
174,21,Male,Team Lead,11.6,37.1,32.6,9.2,24.6,8,1,4.6,10.3,78.2,Low,61.7,high,medium WFH,21-30
175,21,Other,Support Engineer,14.3,33.7,81.7,6.5,16.4,7,0,4.8,88.7,77.9,Medium,50.1,high,high WFH,21-30
176,47,Female,Team Lead,7.7,28.4,40.9,5.6,10.1,2,5,4.4,88.9,41.6,Medium,38.5,medium,medium WFH,41-50
177,42,F,HR Manager,9.2,70.2,52.5,4.4,7.5,0,2,3.4,82.6,63.4,Low,77.7,medium,medium WFH,41-50
178,56,M,HR Manager,12.9,42.1,74.5,9.1,17.8,3,1,2.6,32.3,99.4,Low,59.900000000000006,high,high WFH,51-60
179,51,Male,Support Engineer,10.1,51.2,8.0,9.3,15.1,7,5,3.0,43.5,88.5,High,66.3,high,low WFH,51-60
180,52,M,Software Engineer,6.1,52.7,4.9,7.5,9.7,2,1,4.5,77.0,44.4,Medium,62.400000000000006,medium,low WFH,51-60
181,20,Female,Software Engineer,13.3,71.2,44.8,7.0,19.1,9,5,2.2,54.0,44.1,Low,90.30000000000001,medium,medium WFH,
182,38,M,QA Tester,3.3,60.8,44.6,5.5,26.4,1,5,1.6,23.8,58.7,High,87.19999999999999,medium,medium WFH,31-40
183,21,Male,QA Tester,10.7,58.8,52.5,4.8,16.0,6,4,1.6,31.9,52.4,Medium,74.8,medium,medium WFH,21-30
184,45,Female,Data Analyst,13.2,34.7,12.6,8.4,22.8,3,4,4.3,97.5,49.7,Medium,57.5,medium,low WFH,41-50
185,51,M,Support Engineer,11.0,53.2,12.3,9.1,22.9,5,4,4.0,23.6,70.2,Low,76.1,high,low WFH,51-60
186,25,F,Team Lead,10.5,64.3,14.7,4.8,19.9,4,2,3.0,75.3,20.9,High,84.19999999999999,low,low WFH,21-30
187,51,Female,Business Analyst,11.3,78.5,3.0,3.6,15.1,1,2,2.1,53.0,81.1,Medium,93.6,high,low WFH,51-60
188,23,Female,Support Engineer,7.0,36.1,7.2,7.0,15.1,9,5,3.7,77.4,79.2,Medium,51.2,high,low WFH,21-30
189,30,F,Data Analyst,13.1,25.5,66.0,10.8,13.1,1,3,1.2,69.5,86.4,Low,38.6,high,high WFH,21-30
190,36,Other,QA Tester,3.1,29.1,52.5,7.0,1.3,8,1,3.3,49.5,87.3,Low,30.400000000000002,high,medium WFH,31-40
191,57,Male,Support Engineer,1.9,45.7,76.4,5.2,7.3,9,4,2.6,41.9,65.3,Low,53.0,medium,high WFH,51-60
192,43,Other,Support Engineer,4.3,70.1,99.3,11.0,23.0,1,1,4.9,77.9,82.4,High,93.1,high,high WFH,41-50
193,24,M,QA Tester,8.0,25.4,65.9,10.1,2.1,7,5,3.0,39.1,59.4,Low,27.5,medium,high WFH,21-30
194,53,F,Product Manager,7.7,50.1,5.0,7.1,4.4,7,0,3.2,80.9,96.1,Medium,54.5,high,low WFH,51-60
195,25,Other,Data Analyst,12.3,43.1,52.5,9.6,20.8,0,5,3.8,71.2,35.3,Low,63.900000000000006,low,medium WFH,21-30
196,41,Female,QA Tester,6.1,51.2,88.1,9.5,26.8,0,2,2.9,62.0,93.2,Low,78.0,high,high WFH,41-50
197,30,M,Software Engineer,7.3,49.8,52.7,10.5,19.0,3,3,1.9,43.2,40.7,Low,68.8,medium,medium WFH,21-30
198,35,M,Team Lead,7.7,39.0,82.5,9.7,6.7,1,0,3.1,28.5,28.2,Medium,45.7,low,high WFH,31-40
